VehicleRef,Latitude,Longitude,Vehicle,LineNum,StartName,DestinationName,StopPointName,Delay
3350387031,60.3197999764234,5.35244003869593,bus,29,Arna terminal B,Nesttun terminal,Nesttun terminal D,-PT1M42S
3350447621,60.4717083927244,5.32967864535749,bus,4,Hesjaholtet,Flaktveit,IKEA,PT8M38S
3350447631,60.4828321002424,5.38427853025496,bus,3,Støbotn snuplass,skyss.no,Garasje Haukås,-PT6M51S
3350447634,60.3809690941125,5.26900196447968,bus,3,Vadmyra,Støbotn,Møhlenpris,-PT4S
3350447614,60.4828221257776,5.38430275395513,bus,5,Fyllingsdalen terminal K,skyss.no,Garasje Haukås,-PT3M9S
3350447633,60.462351590395,5.37098743021488,bus,3,Støbotn snuplass,skyss.no,Flaktveit snuplass,-PT2M3S
3350447616,60.3664527274668,5.36564170382917,bus,5,Sletten,Fyllingsdalen terminal,Fridalen,PT1M56S
3350447615,60.344850635156,5.26025176048279,bus,5,Fyllingsdalen terminal K,skyss.no,Garasje Haukås,-PT1M17S
3350387038,60.4219000227749,5.46819001436234,bus,29,Arna terminal B,Nesttun terminal,Bommane,PT20S
3350447638,60.4827852454036,5.38432940840721,bus,3,Støbotn snuplass,skyss.no,Garasje Haukås,-PT9M52S
3350447639,60.397834489122,5.32134954817593,bus,3,Støbotn,Vadmyra,Torget D,-PT8S
3350447629,60.3909236937761,5.32512282952666,bus,4,Hesjaholtet,Flaktveit,Torget B,PT52S
3350361472,60.6261020433158,5.47340179793537,bus,344,Ostereidet senter,skyss.no,Ostereidet garasje,PT1M31S
3350361483,60.626620631665,5.47466503456235,bus,343,Ostereidet garasje,skyss.no,"Ostereidet skule, stopp 5",PT4M23S
3350361461,60.5656033940613,5.36874761804938,bus,345,Ostereidet garasje,skyss.no,Knarvik terminal C,-PT4M39S
3350361491,60.7004688866436,5.32593344338238,bus,342,Myking butikk,Skauge - Sævrås,"Myking, butikk",PT1M22S
3350324148,59.7739345673472,5.17432417720556,bus,552,Langevåg kai,Svortland,Tverråno,PT1M49S
3350324145,59.734241142869,5.27349064126611,bus,552,Gassasundet,Sakseidteen,Nedrebø,PT1M10S
3350324150,59.7972407005727,5.20447975024581,bus,552,Tormodsæter,skyss.no,"Bremnes ungdomsskule, ny",PT35M6S
3350387042,60.3446000162512,5.40404004044831,bus,29,Nesttun terminal C,Arna terminal,Grimen,-PT19S
3350447611,60.4063169751316,5.32328702509403,bus,4,Hesjaholtet,Flaktveit,Sandvikstorget,PT5M21S
3350447601,60.4822870250791,5.38563522510231,bus,5,Fyllingsdalen terminal E,Sletten,Fyllingsdalen terminal E,PT0S
3350387046,60.3197999764234,5.35239997319877,bus,29,Arna terminal B,Nesttun terminal,Nesttun terminal D,-PT2M27S
3350447612,60.3428335301578,5.2663348428905,bus,4,Flaktveit snuplass,Hesjaholtet,Allestadhaugen,PT2M58S
3350447602,60.3837418276817,5.31652316451073,bus,5,Sletten,Fyllingsdalen terminal,Gyldenpris,PT4M10S
3350447615,60.4827930405736,5.3843143209815,bus,4,Flaktveit snuplass,skyss.no,Garasje Haukås,-PT4M40S
3350447625,60.4828984849155,5.38425816223025,bus,3,Støbotn snuplass,skyss.no,Garasje Haukås,-PT6M12S
3350387043,60.2617999725044,5.34373995848,bus,29,Nesttun terminal D,skyss.no,GARASJE Fana Bussdepot,-PT3M25S
3350447604,60.3549420274794,5.30109702609479,bus,5,Fyllingsdalen terminal E,Sletten,Dag Hammarskjõlds vei,PT4M46S
3350447624,60.4875704739243,5.25981028564274,bus,3,Støbotn,Vadmyra,Lokketodalen,PT1M36S
3350447627,60.4634613543749,5.32207751646638,bus,3,Vadmyra,Støbotn,Åsane terminal B,PT6M50S
3350447616,60.3449384775013,5.26043490506709,bus,4,Hesjaholtet,Flaktveit,Hesjaholtet,-PT39M8S
3350447606,60.347456317395,5.35877885296941,bus,5,Sletten,Fyllingsdalen terminal,Sletten,-PT41M21S
3350447619,60.4869425017387,5.27909528464079,bus,4,Hesjaholtet,skyss.no,Støbotn,PT2M19S
3350447618,60.3495486918837,5.28784431517124,bus,4,Hesjaholtet,Flaktveit,Løvås,PT1M58S
3350447628,60.4635281581432,5.31475248746574,bus,3,Støbotn,Vadmyra,Åsane brannstasjon,-PT1M3S
3350361483,60.6264415942132,5.47366716898978,bus,344,Nesbø kai,skyss.no,Ostereidet garasje,PT3M12S
3350361477,60.630616620183,5.47672673128545,bus,345,Norland,Knarvik,Ostereidet senter,PT1M29S
3350361487,60.6256366800517,5.4750232771039,bus,344,Ostereidet garasje,skyss.no,"Ostereidet skule, stopp 5",PT3M57S
3350324157,59.6076663583517,5.23650373332202,bus,552,Langevåg kai,Svortland,Langevåg kai,-PT14M6S
3440189694,61.7767275497317,6.2140635587275,bus,100,Byrkjelo,Sandane,Sandane rutebilstasjon,-PT48S
3350324133,59.7533818054944,5.31797893345356,bus,554,Moster skule,Håvik,Siggjarvågen kai,-PT4M
3350324136,59.7942874208093,5.17917528748512,bus,554,Gassasundet,skyss.no,Svortland terminal B,PT34M36S
3350324156,59.7951269522309,5.18212194554508,bus,552,Våge skule,Svortland,Svortland terminal D,-PT4M56S
3350447642,60.348772443831,5.28665970079601,bus,4,Hesjaholtet,skyss.no,Fyllingsdalen terminal E,-PT21S
3350447580,60.4828248079866,5.38432530127466,bus,39,Viddalen,skyss.no,Garasje Haukås,-PT6M38S
3350447641,60.4446191713214,5.32613209448755,bus,4,Flaktveit snuplass,Hesjaholtet,Eidsvåg E39 B,PT1M8S
3350324141,59.6941135358065,5.36397764459252,bus,554,Moster skule,Totland,Hestavollen kryss,-PT55S
3350447654,60.423324611038,5.30496267601848,bus,3,Støbotn,Vadmyra,Gamle Bergen,-PT1M5S
3350361469,60.6261446233839,5.47230301424861,bus,342,Myking butikk,skyss.no,Ostereidet garasje,-PT13M53S
3350447653,60.4872015025467,5.26189947500825,bus,3,Vadmyra,Støbotn,Marikollen,-PT38S
3350447636,60.3446543309838,5.26059893891215,bus,5,Fyllingsdalen terminal K,skyss.no,Hesjaholtet,-PT1M59S
3350447645,60.3647065255791,5.22523929364979,bus,4,Flaktveit snuplass,skyss.no,Vadmyra,-PT13M31S
3350447635,60.3918750397861,5.32612832263112,bus,5,Fyllingsdalen terminal E,Sletten,Nygaten,PT3M53S
3350387080,60.2618999686092,5.34372000955045,bus,22,Lagunen terminal I,skyss.no,GARASJE Fana Bussdepot,-PT14S
3350447648,60.4049130063504,5.32216862775385,bus,4,Flaktveit snuplass,Hesjaholtet,Skutevikstorget,PT1M32S
3350447638,60.3458969481289,5.28246455825865,bus,5,Fyllingsdalen terminal E,Sletten,Torgny Segerstedts vei,PT57S
3350447657,60.4257471486926,5.30418877489865,bus,3,Vadmyra,Støbotn,Eidsvåg E39 A,PT3M53S
3350447647,60.4735721927136,5.33385367132723,bus,4,Flaktveit snuplass,Hesjaholtet,IKEA,-PT9S
3350447649,60.4625246766955,5.37051192484796,bus,4,Flaktveit snuplass,Hesjaholtet,Breimyra,-PT22S
3350361442,60.7544615864754,5.36820371635258,bus,345,Norland,skyss.no,Hope parkering,PT17M51S
3350361472,60.6256574671715,5.47544279135764,bus,342,Ostereidet garasje,skyss.no,"Ostereidet skule, stopp 1",PT3M51S
3350324164,59.7061938699335,5.20300017669797,bus,552,Bremnes ungdomsskule ny,Grutle,Lykling kyrkje,-PT2M43S
3350324145,59.7364403866231,5.3455305006355,bus,554,Mosterhamn kai,Gassasundet,Gassasundet,-PT5M47S
3350361479,60.7333467341959,5.17203566618264,bus,342,Lindås skulestopp,Myking - Skauge,Fjellsenda vest,-PT4S
3350447571,60.4710116889328,5.27452169917524,bus,39,Viddalen,Bergen busstasjon,Bryggjedalen,-PT4M12S
3350324136,59.7962630353868,5.18485360778868,bus,555,Svortland terminal B,skyss.no,Garasje Bømlo,PT4M10S
3350447640,60.4828745126724,5.38428934291005,bus,4,Flaktveit snuplass,skyss.no,Garasje Haukås,-PT5M33S
3350447630,60.3490031976253,5.28728289529681,bus,5,Sletten,Fyllingsdalen terminal,Fyllingsdalen terminal K,PT5M41S
3350361487,60.6264193821698,5.47368778847158,bus,341,Høylandsmyr,skyss.no,Ostereidet garasje,PT4M52S
